,0
10,"title:The Effects of Halogenated Compounds on the Anaerobic Digestion of Macroalgae,abstract:The urgent need to replace fossil fuels has seen macroalgae advancing as a potential feedstock for anaerobic digestion. The natural methane productivity (dry weight per hectare) of seaweeds is greater than in many terrestrial plant systems. As part of their defence systems, seaweeds, unlike terrestrial plants, produce a range of halogenated secondary metabolites, especially chlorinated and brominated compounds. Some orders of brown seaweeds also accumulate iodine, up to 1.2% of their dry weight. Fluorine remains rather unusual within the chemical structure. Halogenated hydrocarbons have moderate to high toxicities. In addition, halogenated organic compounds constitute a large group of environmental chemicals due to their extensive use in industry and agriculture. In recent years, concerns over the environmental fate and release of these halogenated organic compounds have resulted in research into their biodegradation and the evidence emerging shows that many of these compounds are more easily degraded under strictly anaerobic conditions compared to aerobic biodegradation. Biosorption via seaweed has become an alternative to the existing technologies in removing these pollutants. Halogenated compounds are known inhibitors of methane production from ruminants and humanmade anaerobic digesters. The focus of this paper is reviewing the available information on the effects of halogenated organic compounds on anaerobic digestion."
11,"title:Optimization of Reactor Temperature for Continuous Anaerobic Digestion of Cow Manure: Bangladesh Perspective,abstract:Converting organic waste into energy through anaerobic digestion is gaining popularity day by day. The reactor temperature is considered as one of the most vital factors for the digestion process. An experiment was conducted in the Biogas Laboratory of Green Energy Knowledge Hub at Bangladesh Agricultural University (BAU) to examine the influence of temperature on anaerobic digestion of cow-dung. Laboratory-scale continuous stirred tank reactors with a working volume of 15 L were operated for a 30-day retention time. The reactors were set at 20 C, 25 C, 30 C, 35 C, 40 C and 45 C, respectively to determine the effect of temperature on anaerobic digestion performance. Different parameters like total solids, volatile solids, pH, volatile fatty acids, ammonia nitrogen, total nitrogen, biogas production rate and methane concentration were examined. Among all the reactors, the reactor at 40 C temperature produced maximum biogas (312.43 L/kg VS) and methane yields (209.70 L/kg VS), followed by the reactors at 35 C and 30 C, respectively. Statistical analysis of the obtained experimental results using Minitab® showed that the optimum process performance in terms of methane yield and volatile solid degradation is achieved at a reactor temperature of 35.82 C."
12,"title:Biogas Potential from the Anaerobic Digestion of Potato Peels: Process Performance and Kinetics Evaluation,abstract:This article intends to promote the usage of potato peels as efficient substrate for the anaerobic digestion process for energy recovery and waste abatement. This study examined the performance of anaerobic digestion of potato peels in different inoculum-to-substrate ratios. In addition, the impact of combined treatment with cow manure and pretreatment of potato peels was examined. It was found that co-digestion of potato peel waste and cow manure yielded up to 237.4 mL CH4/g VSadded, whereas the maximum methane yield from the mono-digestion of potato peels was 217.8 mL CH4/g VSadded. Comparing the co-digestion to mono-digestion of potato peels, co-digestion in PPW/CM ratio of 60:40 increased the methane yield by 10%. In addition, grinding and acid hydrolysis applied to potato peels were positively effective in increasing the methane amount reaching 260.3 and 283.4 mL CH4/g VSadded respectively. Likewise, compared to untreated potato peels, pretreatment led to an elevation of the methane amount by 9% and 17% respectively and alleviated the kinetics of biogas production."
13,"title:Rapid Two Stage Anaerobic Digestion of Nejayote through Microaeration and Direct Interspecies Electron Transfer,abstract:Corn is one of the main food products in Mexico. The elaboration of corn-derived products generates wastewater with a high organic load (nejayote). Anaerobic digestion is an indicated treatment for wastewater with high organic loads. The results of this study show that the application of microaeration in the hydrolysis-fermentative reactor increased the percentage of volatile fatty acids (VFA) available in the medium by 62%. The addition of a conductive material, such as granulated activated carbon (GAC), promotes DIET (Direct interspecies electrons transfer) in the methanogenic UASB reactor increasing the methane yield by 55%. Likewise, a great diversity of exoelectrogenic bacteria, with the ability to donate electrons DIET mechanisms, were developed in the GAC biofilm, though interestingly, Peptoclostridium and Clostridium (17.3% and 12.75%, respectively) were detected with a great abundance in the GAC biofilm. Peptoclostridium has not been previously reported as a participant in DIET process."
14,"title:Life Cycle Assessment of the Mesophilic, Thermophilic, and Temperature-Phased Anaerobic Digestion of Sewage Sludge,abstract:In this study the environmental impact of the anaerobic digestion (AD) of sewage sludge within an activated sludge wastewater treatment plant (WWTP) was investigated. Three alternative AD systems (mesophilic, thermophilic, and temperature-phased anaerobic digestion (TPAD)) were compared to determine which system may have the best environmental performance. Two life cycle assessments (LCA) were performed considering: (i) the whole WWTP (for a functional unit (FU) of 1 m3 of treated wastewater), and (ii) the sludge line (SL) alone (for FU of 1 m3 of produced methane). The data for the LCA were obtained from previous laboratory experimental work in combination with full-scale WWTP and literature. According to the results, the WWTP with TPAD outperforms those with mesophilic and thermophilic AD in most analyzed impact categories (i.e., Human toxicity, Ionizing radiation, Metal and Fossil depletion, Agricultural land occupation, Terrestrial acidification, Freshwater eutrophication, and Ozone depletion), except for Climate change where the WWTP with mesophilic AD performed better than with TPAD by 7%. In the case of the SL alone, the production of heat and electricity (here accounted for as avoided environmental impacts) led to credits in most of the analyzed impact categories except for Human toxicity where credits did not balance out the impacts caused by the wastewater treatment system. The best AD alternative was thermophilic concerning all environmental impact categories, besides Climate change and Human toxicity. Differences between both LCA results may be attributed to the FU."
15,"title:The Cultivation of Lipid-Rich Microalgae Biomass as Anaerobic Digestate Valorization Technology—A Pilot-Scale Study,abstract:The aim of the study was to determine the use of digestate from anaerobic digestion of dairy wastewater as a culture medium for microalgae to obtain bio-oil. The experiments were conducted at a small scale in a closed raceway pond. The efficiency of the microalgae biomass production, the digestate treatment efficiency as well as the content and properties of the bio-oil obtained from the microalgal cells were analyzed. The produced biomass concentration was about 3000  10.5 mg dry biomass/L, with an average growth rate of 160  6.6 mgdm/Ld. The efficiency of organic compound and nutrient removal was above 90%. The bio-oil content in the biomass was about 20%. Based on the results of the study, a concept for technical-scale technology was developed."
16,"title:The Use of Industrial Waste Materials for the Simultaneous Removal of Ammonium Nitrogen and Phosphate from the Anaerobic Digestion Reject Water,abstract:Waste and Biomass Valorization, https://doi.org/10.1007/s12649-019-00724-8"
17,"title:Integrated Membrane Process for the Treatment and Reuse of Residual Table Olive Fermentation Brine and Anaerobically Digested Sludge Centrate,abstract:Management of wastewater is a major challenge nowadays, due to increasing water demand, growing population and more stringent regulations on water quality. Wastewaters from food conservation are especially difficult to treat, since they have high salinity and high organic matter concentration. The aim of this work is the treatment of the effluent from a table olive fermentation process (FTOP) with the aim of reusing it once the organic matter is separated. The process proposed in this work consists of the following membrane-based technologies: Ultrafiltration (UF) (UP005, Microdyn Nadir), Forward Osmosis (FO) (Osmen2521, Hydration Technology Innovation) and Nanofiltration (NF) (NF245, Dow). The FO process was implemented to reduce the salinity entering the NF process, using the FTOP as draw solution and, at the same time, to concentrate the centrate produced in the sludge treatment of a municipal wastewater treatment plant with the aim of obtaining a stream enriched in nutrients. The UF step achieved the elimination of 50% of the chemical oxygen demand of the FTOP. The UF permeate was pumped to the FO system reducing the volume of the anaerobically digested sludge centrate (ADSC) by a factor of 3 in 6.5 h. Finally, the ultrafiltrated FTOP diluted by FO was subjected to NF. The transmembrane pressure needed in the NF stage was 40% lower than that required if the ultrafiltration permeate was directly nanofiltered. By means of the integrated process, the concentration of organic matter and phenolic compounds in the FTOP decreased by 97%. Therefore, the proposed process was able to obtain a treated brine that could be reused in other processes and simultaneously to concentrate a stream, such as the ADSC."
18,"title:Semi-Continuous Anaerobic Digestion of Orange Peel Waste: Effect of Activated Carbon Addition and Alkaline Pretreatment on the Process,abstract:The valorization of orange peel waste (OPW) is sought worldwide mainly via anaerobic digestion. A common problem encountered during the biological treatment is the seasonality of its production and the presence of d-Limonene. The latter is a typical anti-microbial compound. This work aims to evaluate the effect of the use of granular activated carbon (GAC) combined with alkaline pretreatment to enhance methane generation during semi-continuous anaerobic digestion of OPW. The experimental design consisted of two groups of experiments, A and B. Experiment A was designed to verify the maximum OPW loading and to assess the effect of pH and nutrients on the process. Experiment B was designed to study the effect of alkaline pretreatment alone and of alkaline pretreatment aided by biochar addition to the process. Apart from the methane yields, the d-Limonene contents were measured in all experiments. The preliminary results showed that OPW alkaline pretreatment after the addition of a moderate amount of GAC can render anaerobic digestion of OPW sustainable as long as the organic loading does not exceed 2 gVSL-1day-1 and nutrients are supplemented. The experiment in which GAC was added after alkaline pretreatment resulted in the highest methane yield and reactor stability."
19,"title:Treatment of By-Products Generated from Anaerobic Digestion of Municipal Solid Waste,abstract:Waste and Biomass Valorization, https://doi.org/10.1007/s12649-019-00831-6"
20,"title:High variations of methanogenic microorganisms drive full-scale anaerobic digestion process,abstract:Environment International, 126 (2019) 543-551. doi:10.1016/j.envint.2019.03.005"
21,"title:Influences of Temperature and Substrate Particle Content on Granular Sludge Bed Anaerobic Digestion,abstract:Influences of temperature (25–35 C) and substrate particulate content (3.0–9.4 g total suspended solids (TSS)/L) on granular sludge bed anaerobic digestion (AD) were analyzed in lab-scale reactors using manure as a substrate and through modeling. Two particle levels were tested using raw (RF) and centrifuged (CF) swine manure slurries, fed into a 1.3-L lab-scale up-flow anaerobic sludge bed reactor (UASB) at temperatures of 25 C and 35 C. Biogas production increased with temperature in both high- and low-particle-content substrates; however, the temperature effect was stronger on high-particle-content substrate. RF and CF produced a comparable amount of biogas at 25 C, suggesting that biogas at this temperature came mainly from the digestion of small particles and soluble components present in similar quantities in both substrates. At 35 C, RF showed significantly higher biogas production than CF, which was attributed to increased (temperature-dependent) disintegration of larger solid particulates. Anaerobic Digestion Model No.1 (ADM1) based modeling was carried out by separating particulates into fast and slow disintegrating fractions and introducing temperature-dependent disintegration constants. Simulations gave a better fit for the experimental data than the conventional ADM1 model."
22,"title:Effect of Pasteurisation on Methane Yield from Food Waste and Other Substrates in Anaerobic Digestion,abstract:The effect of pasteurisation and co-pasteurisation on biochemical methane potential values in anaerobic digestion (AD) was studied. Pasteurisation prior to digestion in a biogas plant is a common hygienisation method for organic materials which contain or have been in contact with animal by-products. Tests were carried out on food waste, slaughterhouse waste, animal blood, cattle slurry, potato waste, card packaging and the organic fraction of municipal solid waste (OFMSW); pasteurisation at 70 C for 1 h was applied. Pasteurisation had increased the methane yields of blood (+15%) and potato waste (+12%) only, which both had a low content of structural carbohydrates (hemi-cellulose and cellulose) but a particularly high content of either non-structural carbohydrates such as starch (potato waste) or proteins (blood). With food waste, card packaging and cattle slurry, pasteurisation had no observable impact on the methane yield. Slaughterhouse waste and OFMSW yielded less methane after pasteurisation in the experiments (but statistical significance of the difference between pasteurised and unpasteurised slaughterhouse waste or OFMSW was not confirmed in this work). It is concluded that pasteurisation can positively impact the methane yield of some specific substrates, such as potato waste, where heat-treatment may induce gelatinisation with release of the starch molecules. For most substrates, however, pasteurisation at 70 C is unlikely to increase the methane yield. It is unlikely to improve biodegradability of lignified materials, and it may reduce the methane yield from substrates which contain high contents of volatile components. Furthermore, in this experimental study, the obtained methane yield was unaffected by whether the substrates were pasteurised individually and then co-digested or co-pasteurised as a mixture before batch digestion."
23,"title:Rapid Two Stage Anaerobic Digestion of Nejayote through Microaeration and Direct Interspecies Electron Transfer,abstract:Corn is one of the main food products in Mexico. The elaboration of corn-derived products generates wastewater with a high organic load (nejayote). Anaerobic digestion is an indicated treatment for wastewater with high organic loads. The results of this study show that the application of microaeration in the hydrolysis-fermentative reactor increased the percentage of volatile fatty acids (VFA) available in the medium by 62%. The addition of a conductive material, such as granulated activated carbon (GAC), promotes DIET (Direct interspecies electrons transfer) in the methanogenic UASB reactor increasing the methane yield by 55%. Likewise, a great diversity of exoelectrogenic bacteria, with the ability to donate electrons DIET mechanisms, were developed in the GAC biofilm, though interestingly, Peptoclostridium and Clostridium (17.3% and 12.75%, respectively) were detected with a great abundance in the GAC biofilm. Peptoclostridium has not been previously reported as a participant in DIET process."
24,"title:Impacts of different biochar types on the anaerobic digestion of sewage sludge,abstract:RSC Advances (2019), 9, 42375-42386, doi:10.1039/C9RA08700A"
25,"title:Yield improvements in anaerobic digestion of lignocellulosic feedstocks,abstract:Journal of Cleaner Production, 288 (2021) 125447. doi:10.1016/j.jclepro.2020.125447"
26,"title:Improvement of Anaerobic Digestion of Lignocellulosic Biomass by Hydrothermal Pretreatment,abstract:Lignocellulosic biomass, comprising of cellulose, hemicellulose, and lignin, is a difficult- to-degrade substrate when subjected to anaerobic digestion. Hydrothermal pretreatment of lignocellulosic biomass could enhance the process performance by increasing the generation of methane, hydrogen, and bioethanol. The recalcitrants (furfurals, and 5-HMF) could be formed at high temperatures during hydrothermal pretreatment of lignocellulosic biomass, which may hinder the process performance. However, the detoxification process involving the use of genetically engineered microbes may be a promising option to reduce the toxic effects of inhibitors. The key challenge lies in the scaleup of the hydrothermal process, mainly due to necessity of upholding high temperature in sizeable reactors, which may demand high capital and operational costs. Thus, more efforts should be towards the techno-economic feasibility of hydrothermal pre-treatment at full scale."
27,"title:Enhancing methane yield from crude glycerol anaerobic digestion by coupling with ultrasound or A. niger/E. coli biodegradation,abstract:Environ Sci Pollut Res, doi:10.1007/s11356-019-06748-w"
28,"title:Pilot Plant Data Assessment in Anaerobic Digestion of Organic Fraction of Municipal Waste Solids,abstract:In this paper, a preliminary study of anaerobic digestion of organic fraction of municipal solid wastes (OFMSW) in presented with the aim to compare the performances of both wet- and dry-type reactors. The treatment of OFMSW via anaerobic digestion (AD) producing biogas is a process that is receiving a growing interest because two different needs can be coupled: the request of sustainable municipal waste treatments and increasing demand renewable energy. This paper aims to offer experimental results comparing batch test and continuous experimental reactors under different conditions of humidity and solid content. Results show that both the investigated configurations may be used for converting OFMSW into a high quality biogas and that the increase of dry matter in the continuous process still allows to achieve significant biogas production rates. A slight reduction of the methane content was observed (less than 5% relative) that can be also related to the change in the level of volatile fatty acids. These results are very promising in supporting the possibility of operating an industrial scale plant with a dry-process without affecting the system performance."
29,"title:Robust Data-Driven Soft Sensors for Online Monitoring of Volatile Fatty Acids in Anaerobic Digestion Processes,abstract:The concentration of volatile fatty acids (VFAs) is one of the most important measurements for evaluating the performance of anaerobic digestion (AD) processes. In real-time applications, VFAs can be measured by dedicated sensors, which are still currently expensive and very sensitive to harsh environmental conditions. Moreover, sensors usually have a delay that is undesirable for real-time monitoring. Due to these problems, data-driven soft sensors are very attractive alternatives. This study proposes different data-driven methods for estimating reliable VFA values. We evaluated random forest (RF), artificial neural network (ANN), extreme learning machine (ELM), support vector machine (SVM) and genetic programming (GP) based on synthetic data obtained from the international water association (IWA) Benchmark Simulation Model No. 2 (BSM2). The organic load to the AD in BSM2 was modified to simulate the behavior of an anaerobic co-digestion process. The prediction and generalization performances of the different models were also compared. This comparison showed that the GP soft sensor is more precise than the other soft sensors. In addition, the model robustness was assessed to determine the performance of each model under different process states. It is also shown that, in addition to their robustness, GP soft sensors are easy to implement and provide useful insights into the process by providing explicit equations."
30,"title:Risk assessments for quality-assured, source-segregated composts and anaerobic digestates for a circular bioeconomy in the UK,abstract:Environment International, 127 (2019) 253-266. doi:10.1016/j.envint.2019.03.044"
31,"title:Synthesis of high surface area porous carbon from anaerobic digestate and it's electrochemical study as an electrode material for ultracapacitors,abstract:RSC Advances (2019), 9, 36343-36350, doi:10.1039/C9RA06603A"
32,"title:Effect of Pasteurisation on Methane Yield from Food Waste and Other Substrates in Anaerobic Digestion,abstract:The effect of pasteurisation and co-pasteurisation on biochemical methane potential values in anaerobic digestion (AD) was studied. Pasteurisation prior to digestion in a biogas plant is a common hygienisation method for organic materials which contain or have been in contact with animal by-products. Tests were carried out on food waste, slaughterhouse waste, animal blood, cattle slurry, potato waste, card packaging and the organic fraction of municipal solid waste (OFMSW); pasteurisation at 70 C for 1 h was applied. Pasteurisation had increased the methane yields of blood (+15%) and potato waste (+12%) only, which both had a low content of structural carbohydrates (hemi-cellulose and cellulose) but a particularly high content of either non-structural carbohydrates such as starch (potato waste) or proteins (blood). With food waste, card packaging and cattle slurry, pasteurisation had no observable impact on the methane yield. Slaughterhouse waste and OFMSW yielded less methane after pasteurisation in the experiments (but statistical significance of the difference between pasteurised and unpasteurised slaughterhouse waste or OFMSW was not confirmed in this work). It is concluded that pasteurisation can positively impact the methane yield of some specific substrates, such as potato waste, where heat-treatment may induce gelatinisation with release of the starch molecules. For most substrates, however, pasteurisation at 70 C is unlikely to increase the methane yield. It is unlikely to improve biodegradability of lignified materials, and it may reduce the methane yield from substrates which contain high contents of volatile components. Furthermore, in this experimental study, the obtained methane yield was unaffected by whether the substrates were pasteurised individually and then co-digested or co-pasteurised as a mixture before batch digestion."
33,"title:Improving the Anaerobic Digestion of Wine-Industry Liquid Wastes: Treatment by Electro-Oxidation and Use of Biochar as an Additive,abstract:Wine lees have a great potential to obtain clean energy in the form of biogas through anaerobic digestion due to their high organic load. However, wine lees are a complex substrate and may likely give rise to instabilities leading to failure of the biological process. This work analysed the digestion of wine lees using two different approaches. First, electro-oxidation was applied as pre-treatment using boron-doped diamond-based electrodes. The voltage was 25 V and different treatment times were tested (ranging from 0.08 to 1.5 h) at 25 C. Anaerobic digestion of wine lees was evaluated in batch tests to investigate the effect of electro-oxidation on biogas yield. Electro-oxidation exhibited a significant positive effect on biogas production increasing its value up to 330 L kg-1 of volatile solids after 1.5 h of treatment, compared to 180 L kg-1 of volatile solids measured from raw wine lees. As a second approach, the addition of biochar to the anaerobic digestion of wine lees was investigated; in the experimental conditions considered in the present study, the addition of biochar did not show any positive effect on anaerobic digestion performance."
34,"title:Improvement of Anaerobic Digestion of Hydrolysed Corncob Waste by Organosolv Pretreatment for Biogas Production,abstract:This paper describes an organosolv pretreatment of corncob waste to improve its anaerobic digestion for biogas production. Through a thermochemical process based on the use of ethanol and acetic acid, it was possible to separate the fractions of lignin, considered to be a natural inhibitor of anaerobic digestion processes. In addition, with this organosolv pretreatment, the available sugars in the carbohydrates present as monosaccharides, or simple sugars, were depolymerised, facilitating the digestion process. The obtained results include the chemical characterisation of the corncob, the hydrolysate, and the mixture with cow manure, finding that these substrates have potential to be used in anaerobic digestion. The total reducing sugars consumed were 96.8%, and total sugars were 85.75%. It was clearly observed that with the use of pretreatment with organosolv, the production of biogas was superior, because 484 NmL/gVS was obtained compared to the other reported treatments. It was also observed that adding the hydrolysate organosolv increased the production because the values of the control without hydrolysate were 120 NmL/gVS in the bottle experiment. When the experiment was scaled to the 5L reactor, the total volumes of biogas that were accumulated in 15 days of production were 5050 NmL/gVS and 1212 NmL/gVS with and without hydrolysate, respectively. This indicates that the organosolv pretreatment of corncob waste is effective in improving biogas production."
35,"title:Formation of phenylacetic acid and phenylpropionic acid under different overload conditions during mesophilic and thermophilic anaerobic digestion,abstract:Biotechnology for Biofuels, https://doi.org/10.1186/s13068-019-1370-6"
36,"title:Process optimization and effect of thermal, alkaline, H2O2 oxidation and combination pretreatment of sewage sludge on solubilization and anaerobic digestion,abstract:BMC Biotechnology, 2020, doi:10.1186/s12896-020-00614-1"
37,"title:Evaluation of Ultrasound Pretreatment for Enhanced Anaerobic Digestion of Sida hermaphrodita,abstract:Bioenerg. Res., doi:10.1007/s12155-020-10108-9"
38,"title:Optimization of mesophilic anaerobic digestion of a conventional activated sludge plant for sustainability,abstract:Alexandria Engineering Journal, Corrected proof. doi:10.1016/j.aej.2019.08.012"
39,"title:The effect of anaerobic digestate derived composts on the metabolite composition and thermal behaviour of rosemary,abstract:Scientific Reports, doi:10.1038/s41598-019-42725-6"
40,"title:Pathogen Reduction Potential in Anaerobic Digestion of Organic Fraction of Municipal Solid Waste and Food Waste,abstract:Anaerobic digestion (AD) is a commonly used method of processing waste. Regardless of the type of the used digestate (fertilizer, feedstock in case of solid-state fermentation, raw-material in case of thermal treatment) effective pathogen risk elimination, even in the case of high pathogen concentration is essential. An investigation of the survival time and inactivation rate of the Salmonella Senftenberg W775, Enterococcus spp., and Ascaris suum eggs during thermophilic anaerobic digestion performed on laboratory scale and confirmation of hygienization in full-scale operation were performed in this study. Except for sanitization efficiency, the AD process performance and stability were also verified based on determination of pH value, dry matter content, acidity, alkalinity, and content of fatty acids. The elimination of pathogen was met within 6.06 h, 5.5 h, and about 10 h for the Salmonella Senftenberg W775, Enterococcus spp., and Ascaris suum, respectively in the laboratory trials. The obtained results were confirmed in full-scale tests, using 1500 m3 Kompogas® reactors, operating in MBT Plant located in Poland. Sanitization of the digestate was achieved. Furthermore, the process was stable. The pH value, suspended solids, and ammonium content remained stable at 8.5, 35%, and 3.8 g/kg, respectively. The acetic acid content was noted between almost 0.8 and over 1.1 g/kg, while the concentration of propionic acid was noted at maximum level of about 100 mg/kg. The AD conditions could positively affect the pathogen elimination. Based on these results it can be found that anaerobic digestion under thermophilic conditions results in high sanitation efficiency."
41,"title:Influence of Granular Activated Carbon on Anaerobic Co-Digestion of Sugar Beet Pulp and Distillers Grains with Solubles,abstract:Anaerobic digestion is an important technology to receive energy from various types of biomass. In this work, the impact of granular activated carbon (GAC) on the mesophilic anaerobic co-digestion of sugar beet pulp and distillers grains was investigated. After a short period, anaerobic reactors began to produce biomethane and were ready for completion within 19–24 days. The addition of GAC to reactors (5–10 g L-1) significantly enhanced the methane production rate and consumption of produced volatile fatty acids. Thus, the maximum methane production rate increased by 13.7% in the presence of GAC (5 g L-1). Bacterial and archaeal community structure and dynamics were investigated, based on 16S rRNA genes analysis. The abundant classes of bacteria in GAC-free and GAC-containing reactors were Clostridia, Bacteroidia, Actinobacteria, and Synergistia. Methanogenic communities were mainly represented by the genera Methanosarcina, Methanoculleus, Methanothrix, and Methanomassiliicoccus in GAC-free and GAC-containing reactors. Our results indicate that the addition of granular activated carbon at appropriate dosages has a positive effect on anaerobic co-digestion of by-products of the processing of sugar beet and ethanol distillation process."
42,"title:Synthesis of high surface area porous carbon from anaerobic digestate and it's electrochemical study as an electrode material for ultracapacitors,abstract:RSC Advances (2019), 9, 36343-36350, doi:10.1039/C9RA06603A"
